variable,Aggr,value ,Times [min],x [km],y [km],z [km],Experiment
Reflectivity,max r>0,60.69499969482422,90,58,146,4.0,296
Precipitation,P90,27.042,235,156,64,,296
Precipitation,mean r>0,9.111000061035156,170,0,38,,296
Precipitation,max r>0,130.552001953125,240,154,146,,296
W,P90,0.45,225,2,136,9.0,297
W,P10,-0.668,135,80,2,6.0,297
W,mean W>0,0.4350000023841858,35,110,52,7.0,297
W,mean W<0,-0.4350000023841858,60,36,30,3.0,297
Reflectivity,P90,18.311,60,138,32,7.0,297
Reflectivity,mean r>0,23.392000198364258,60,100,108,0.0,297
Reflectivity,max r>0,61.56999969482422,100,4,16,2.0,297
Precipitation,P90,20.356,215,154,106,,297
Precipitation,mean r>0,7.193999767303467,105,154,52,,297
Precipitation,max r>0,89.8740005493164,185,136,154,,297
W,P90,0.593,120,144,98,9.0,298
W,P10,-0.628,100,74,104,9.0,298
W,mean W>0,0.5289999842643738,240,26,86,1.0,298
W,mean W<0,-0.4129999876022339,100,14,122,8.0,298
Reflectivity,P90,26.709,130,144,152,2.0,298
Reflectivity,mean r>0,25.138999938964844,70,112,32,3.0,298
Reflectivity,max r>0,60.86800003051758,60,72,76,2.0,298
Precipitation,P90,23.841,100,24,0,,298
Precipitation,mean r>0,8.074000358581543,90,64,154,,298
Precipitation,max r>0,99.5270004272461,240,156,78,,298
W,P90,0.029,95,84,18,10.0,299
W,P10,-0.028,145,4,48,13.0,299
W,mean W>0,0.020999999716877937,130,10,80,15.0,299
W,mean W<0,-0.01899999938905239,120,102,22,11.0,299
Reflectivity,P90,-30.0,0,0,0,0.0,299
Reflectivity,mean r>0,17.003000259399414,60,66,78,3.0,299
Reflectivity,max r>0,53.08399963378906,25,70,76,3.0,299
Precipitation,P90,0.0,0,0,0,,299
Precipitation,mean r>0,0.125,50,66,82,,299
Precipitation,max r>0,14.630999565124512,80,68,78,,299
W,P90,0.032,200,10,90,12.0,304
W,P10,-0.031,85,114,82,18.0,304
W,mean W>0,0.02500000037252903,55,36,28,7.0,304
W,mean W<0,-0.02199999988079071,80,22,30,13.0,304
Reflectivity,P90,-30.0,0,0,0,0.0,304
Reflectivity,mean r>0,18.985000610351562,25,82,78,7.0,304
Reflectivity,max r>0,57.0,30,74,76,4.0,304
Precipitation,P90,0.0,0,0,0,,304
Precipitation,mean r>0,0.35499998927116394,35,76,76,,304
Precipitation,max r>0,30.08300018310547,95,72,76,,304
W,P90,0.018,55,32,84,2.0,307
W,P10,-0.018,175,102,114,10.0,307
W,mean W>0,0.014000000432133675,155,54,88,3.0,307
W,mean W<0,-0.013000000268220901,135,86,152,3.0,307
Reflectivity,P90,-30.0,0,0,0,0.0,307
Reflectivity,mean r>0,17.54400062561035,50,78,74,10.0,307
Reflectivity,max r>0,49.04399871826172,25,74,76,5.0,307
Precipitation,P90,0.0,0,0,0,,307
Precipitation,mean r>0,0.08100000023841858,95,84,80,,307
Precipitation,max r>0,10.032999992370605,80,72,76,,307
W,P90,0.282,65,94,104,6.0,309
W,P10,-0.275,240,78,138,18.0,309
W,mean W>0,0.4300000071525574,155,68,40,3.0,309
W,mean W<0,-0.21299999952316284,50,108,108,3.0,309
Reflectivity,P90,10.821,150,52,40,2.0,309
Reflectivity,mean r>0,28.649999618530273,75,60,88,9.0,309
Reflectivity,max r>0,59.5359992980957,20,74,76,5.0,309
Precipitation,P90,3.23,130,62,64,,309
Precipitation,mean r>0,5.914000034332275,225,116,42,,309
Precipitation,max r>0,126.69000244140625,240,72,80,,309
W,P90,0.295,230,114,84,5.0,310
W,P10,-0.297,235,154,84,13.0,310
W,mean W>0,0.4410000145435333,195,48,10,15.0,310
W,mean W<0,-0.23499999940395355,190,76,130,13.0,310
Reflectivity,P90,8.563,240,120,14,9.0,310
Reflectivity,mean r>0,27.891000747680664,150,20,76,1.0,310
Reflectivity,max r>0,59.696998596191406,150,68,108,5.0,310
Precipitation,P90,3.831,100,64,66,,310
Precipitation,mean r>0,4.934999942779541,195,126,62,,310
Precipitation,max r>0,98.07499694824219,240,68,52,,310
W,P90,0.301,205,6,50,4.0,311
W,P10,-0.295,120,10,82,1.0,311
W,mean W>0,0.4309999942779541,240,60,68,17.0,311
W,mean W<0,-0.23399999737739563,190,100,96,1.0,311
Reflectivity,P90,8.84,100,98,78,4.0,311
Reflectivity,mean r>0,27.531999588012695,175,76,86,8.0,311
Reflectivity,max r>0,59.74800109863281,60,78,90,5.0,311
Precipitation,P90,4.14,210,92,22,,311
Precipitation,mean r>0,4.920000076293945,200,60,116,,311
Precipitation,max r>0,85.96900177001953,240,104,54,,311
W,P90,0.192,205,74,22,17.0,312
W,P10,-0.206,200,36,138,17.0,312
W,mean W>0,0.3319999873638153,185,80,142,1.0,312
W,mean W<0,-0.17299999296665192,200,142,78,18.0,312
Reflectivity,P90,-5.103,235,114,120,9.0,312
Reflectivity,mean r>0,28.170000076293945,220,110,104,7.0,312
Reflectivity,max r>0,59.34700012207031,25,76,78,5.0,312
Precipitation,P90,1.039,240,82,130,,312
Precipitation,mean r>0,4.2210001945495605,235,106,32,,312
Precipitation,max r>0,108.22899627685547,240,82,84,,312
W,P90,0.29,145,138,108,10.0,313
W,P10,-0.288,195,34,58,4.0,313
W,mean W>0,0.4309999942779541,225,22,126,9.0,313
W,mean W<0,-0.2290000021457672,45,124,114,17.0,313
Reflectivity,P90,6.784,105,104,66,8.0,313
Reflectivity,mean r>0,28.156999588012695,170,102,36,5.0,313
Reflectivity,max r>0,60.01300048828125,60,62,76,5.0,313
Precipitation,P90,3.491,200,16,96,,313
Precipitation,mean r>0,4.895999908447266,115,66,66,,313
Precipitation,max r>0,94.52899932861328,240,46,92,,313
W,P90,0.382,30,78,74,6.0,314
W,P10,-0.38,210,82,76,13.0,314
W,mean W>0,0.5550000071525574,190,32,100,16.0,314
W,mean W<0,-0.28600001335144043,225,26,36,1.0,314
Reflectivity,P90,19.836,230,50,62,5.0,314
Reflectivity,mean r>0,28.44499969482422,235,144,100,0.0,314
Reflectivity,max r>0,59.619998931884766,210,72,138,4.0,314
Precipitation,P90,7.677,235,78,18,,314
Precipitation,mean r>0,5.928999900817871,230,52,134,,314
Precipitation,max r>0,105.2020034790039,240,66,54,,314
W,P90,0.313,185,54,12,8.0,315
W,P10,-0.314,240,24,52,9.0,315
W,mean W>0,0.4569999873638153,70,44,78,4.0,315
W,mean W<0,-0.24300000071525574,75,52,2,9.0,315
Reflectivity,P90,10.933,75,96,50,7.0,315
Reflectivity,mean r>0,28.14900016784668,165,72,84,6.0,315
Reflectivity,max r>0,59.65800094604492,60,78,90,5.0,315
Precipitation,P90,5.339,170,50,88,,315
Precipitation,mean r>0,5.465000152587891,210,58,112,,315
Precipitation,max r>0,91.8740005493164,240,66,54,,315
W,P90,0.33,35,72,36,10.0,316
W,P10,-0.329,65,104,36,7.0,316
W,mean W>0,0.4909999966621399,35,96,92,6.0,316
W,mean W<0,-0.2540000081062317,65,30,76,8.0,316
Reflectivity,P90,14.98,80,84,78,11.0,316
Reflectivity,mean r>0,28.115999221801758,195,126,84,9.0,316
Reflectivity,max r>0,60.00899887084961,60,66,86,5.0,316
Precipitation,P90,6.473,220,30,50,,316
Precipitation,mean r>0,5.308000087738037,215,118,86,,316
Precipitation,max r>0,95.16000366210938,240,94,58,,316
W,P90,0.23,190,66,142,3.0,317
W,P10,-0.229,145,40,124,1.0,317
W,mean W>0,0.34700000286102295,170,112,102,10.0,317
W,mean W<0,-0.18799999356269836,120,22,36,15.0,317
Reflectivity,P90,-6.421,120,60,22,9.0,317
Reflectivity,mean r>0,27.56399917602539,140,110,78,8.0,317
Reflectivity,max r>0,60.05400085449219,50,78,86,5.0,317
Precipitation,P90,1.776,165,46,54,,317
Precipitation,mean r>0,4.0,195,44,64,,317
Precipitation,max r>0,94.5790023803711,240,66,54,,317
W,P90,0.276,185,42,132,17.0,318
W,P10,-0.279,200,20,136,9.0,318
W,mean W>0,0.4129999876022339,240,38,36,7.0,318
W,mean W<0,-0.2240000069141388,180,34,140,13.0,318
Reflectivity,P90,3.347,195,70,32,11.0,318
Reflectivity,mean r>0,27.618999481201172,220,20,44,3.0,318
Reflectivity,max r>0,59.85499954223633,60,78,90,5.0,318
Precipitation,P90,2.595,175,60,98,,318
Precipitation,mean r>0,4.468999862670898,205,130,64,,318
Precipitation,max r>0,91.12100219726562,240,62,46,,318
W,P90,0.201,155,94,68,18.0,319
W,P10,-0.217,150,72,42,13.0,319
W,mean W>0,0.3440000116825104,205,94,34,3.0,319
W,mean W<0,-0.1770000010728836,45,86,136,17.0,319
Reflectivity,P90,3.037,135,34,68,4.0,319
Reflectivity,mean r>0,27.868000030517578,155,86,54,1.0,319
Reflectivity,max r>0,59.400001525878906,25,74,76,5.0,319
Precipitation,P90,1.297,195,66,108,,319
Precipitation,mean r>0,4.873000144958496,240,112,50,,319
Precipitation,max r>0,125.78099822998047,240,72,78,,319
W,P90,0.506,100,144,98,9.0,320
W,P10,-0.472,160,40,72,1.0,320
W,mean W>0,0.546999990940094,75,88,138,6.0,320
W,mean W<0,-0.29899999499320984,125,148,146,15.0,320
Reflectivity,P90,31.201,240,76,152,1.0,320
Reflectivity,mean r>0,25.937000274658203,230,116,90,2.0,320
Reflectivity,max r>0,60.409000396728516,95,16,152,2.0,320
Precipitation,P90,33.327,190,150,2,,320
Precipitation,mean r>0,11.741999626159668,200,96,68,,320
Precipitation,max r>0,145.36099243164062,240,74,76,,320
W,P90,0.484,180,32,6,6.0,321
W,P10,-0.451,35,86,118,18.0,321
W,mean W>0,0.5180000066757202,160,28,152,8.0,321
W,mean W<0,-0.28600001335144043,90,36,116,3.0,321
Reflectivity,P90,30.811,90,98,118,6.0,321
Reflectivity,mean r>0,25.900999069213867,55,38,80,4.0,321
Reflectivity,max r>0,60.645999908447266,85,154,138,3.0,321
Precipitation,P90,31.698,205,140,80,,321
Precipitation,mean r>0,11.17300033569336,115,78,94,,321
Precipitation,max r>0,131.46299743652344,240,74,76,,321
W,P90,0.371,50,30,8,5.0,322
W,P10,-0.474,170,142,64,7.0,322
W,mean W>0,0.3919999897480011,50,100,52,1.0,322
W,mean W<0,-0.2919999957084656,125,70,52,0.0,322
Reflectivity,P90,19.72,225,6,50,2.0,322
Reflectivity,mean r>0,22.94499969482422,120,50,140,0.0,322
Reflectivity,max r>0,59.939998626708984,55,72,84,5.0,322
Precipitation,P90,17.73,240,22,28,,322
Precipitation,mean r>0,5.966000080108643,210,114,86,,322
Precipitation,max r>0,122.01499938964844,240,6,154,,322
W,P90,0.506,90,32,128,16.0,323
W,P10,-0.467,155,154,68,10.0,323
W,mean W>0,0.5450000166893005,110,116,112,10.0,323
W,mean W<0,-0.29600000381469727,130,58,22,0.0,323
Reflectivity,P90,31.435,210,34,114,1.0,323
Reflectivity,mean r>0,25.90399932861328,40,42,94,4.0,323
Reflectivity,max r>0,60.143001556396484,115,118,140,1.0,323
Precipitation,P90,34.185,195,76,4,,323
Precipitation,mean r>0,12.251999855041504,110,34,138,,323
Precipitation,max r>0,163.5590057373047,240,74,78,,323
W,P90,0.02,70,16,132,9.0,324
W,P10,-0.02,75,24,54,18.0,324
W,mean W>0,0.01600000075995922,165,128,136,10.0,324
W,mean W<0,-0.014000000432133675,10,40,96,18.0,324
Reflectivity,P90,-30.0,0,0,0,0.0,324
Reflectivity,mean r>0,20.788999557495117,75,74,72,7.0,324
Reflectivity,max r>0,54.46900177001953,30,76,76,5.0,324
Precipitation,P90,0.0,0,0,0,,324
Precipitation,mean r>0,0.2770000100135803,65,78,74,,324
Precipitation,max r>0,33.016998291015625,100,74,76,,324
W,P90,0.378,155,132,92,8.0,325
W,P10,-0.369,190,62,62,13.0,325
W,mean W>0,0.5899999737739563,240,62,20,9.0,325
W,mean W<0,-0.2619999945163727,25,108,62,7.0,325
Reflectivity,P90,28.759,235,74,66,6.0,325
Reflectivity,mean r>0,29.315000534057617,185,38,126,2.0,325
Reflectivity,max r>0,59.03300094604492,15,76,76,5.0,325
Precipitation,P90,6.749,200,96,32,,325
Precipitation,mean r>0,4.105000019073486,230,142,46,,325
Precipitation,max r>0,132.9669952392578,240,74,78,,325
W,P90,0.404,100,8,78,10.0,326
W,P10,-0.413,220,54,108,7.0,326
W,mean W>0,0.45500001311302185,130,90,4,14.0,326
W,mean W<0,-0.26100000739097595,105,30,38,13.0,326
Reflectivity,P90,28.527,105,56,0,4.0,326
Reflectivity,mean r>0,25.070999145507812,190,90,152,0.0,326
Reflectivity,max r>0,60.084999084472656,100,0,112,3.0,326
Precipitation,P90,24.279,170,144,110,,326
Precipitation,mean r>0,8.326000213623047,110,10,94,,326
Precipitation,max r>0,122.90399932861328,240,74,78,,326
W,P90,0.521,45,104,70,18.0,327
W,P10,-0.485,110,104,46,14.0,327
W,mean W>0,0.5559999942779541,100,64,114,9.0,327
W,mean W<0,-0.3059999942779541,130,38,60,2.0,327
Reflectivity,P90,31.572,80,152,134,8.0,327
Reflectivity,mean r>0,26.20199966430664,175,52,66,3.0,327
Reflectivity,max r>0,59.84600067138672,125,138,38,0.0,327
Precipitation,P90,33.835,190,130,102,,327
Precipitation,mean r>0,12.3149995803833,200,116,26,,327
Precipitation,max r>0,164.11099243164062,240,74,76,,327
W,P90,0.44,175,132,156,3.0,328
W,P10,-0.449,100,26,56,9.0,328
W,mean W>0,0.47600001096725464,20,118,54,19.0,328
W,mean W<0,-0.28600001335144043,5,40,98,8.0,328
Reflectivity,P90,28.821,215,154,16,3.0,328
Reflectivity,mean r>0,24.98900032043457,215,58,146,4.0,328
Reflectivity,max r>0,59.79600143432617,15,76,76,5.0,328
Precipitation,P90,27.246,135,112,154,,328
Precipitation,mean r>0,9.553999900817871,230,52,114,,328
Precipitation,max r>0,100.00199890136719,240,74,76,,328
W,P90,0.024,50,38,74,19.0,329
W,P10,-0.023,115,108,2,13.0,329
W,mean W>0,0.017999999225139618,140,66,148,13.0,329
W,mean W<0,-0.01600000075995922,115,72,10,7.0,329
Reflectivity,P90,-30.0,0,0,0,0.0,329
Reflectivity,mean r>0,18.43400001525879,70,86,70,7.0,329
Reflectivity,max r>0,55.474998474121094,30,74,78,3.0,329
Precipitation,P90,0.0,0,0,0,,329
Precipitation,mean r>0,0.257999986410141,65,68,86,,329
Precipitation,max r>0,20.367000579833984,90,74,78,,329
W,P90,0.218,115,140,84,6.0,330
W,P10,-0.219,140,128,68,14.0,330
W,mean W>0,0.32100000977516174,175,22,86,3.0,330
W,mean W<0,-0.18000000715255737,140,16,106,7.0,330
Reflectivity,P90,-12.016,240,146,108,9.0,330
Reflectivity,mean r>0,27.422000885009766,230,128,74,10.0,330
Reflectivity,max r>0,60.409000396728516,25,72,76,5.0,330
Precipitation,P90,1.082,170,50,64,,330
Precipitation,mean r>0,3.9670000076293945,190,66,46,,330
Precipitation,max r>0,96.41400146484375,240,90,70,,330
W,P90,0.216,85,14,58,13.0,331
W,P10,-0.222,135,52,64,0.0,331
W,mean W>0,0.3319999873638153,210,88,114,14.0,331
W,mean W<0,-0.18299999833106995,240,32,90,0.0,331
Reflectivity,P90,-11.277,210,78,106,0.0,331
Reflectivity,mean r>0,27.690000534057617,190,114,98,9.0,331
Reflectivity,max r>0,60.55799865722656,65,64,68,5.0,331
Precipitation,P90,0.913,170,100,94,,331
Precipitation,mean r>0,3.9189999103546143,235,134,52,,331
Precipitation,max r>0,96.19599914550781,240,92,68,,331
W,P90,0.143,220,48,72,1.0,332
W,P10,-0.154,240,38,66,18.0,332
W,mean W>0,0.23399999737739563,230,130,74,4.0,332
W,mean W<0,-0.1340000033378601,215,18,142,16.0,332
Reflectivity,P90,-30.0,0,0,0,0.0,332
Reflectivity,mean r>0,27.5939998626709,215,72,28,8.0,332
Reflectivity,max r>0,59.874000549316406,30,74,76,5.0,332
Precipitation,P90,0.339,235,80,142,,332
Precipitation,mean r>0,2.734999895095825,105,88,72,,332
Precipitation,max r>0,149.24899291992188,240,74,76,,332
W,P90,0.215,50,58,90,8.0,333
W,P10,-0.217,105,36,64,15.0,333
W,mean W>0,0.3230000138282776,145,94,126,9.0,333
W,mean W<0,-0.17900000512599945,235,24,86,13.0,333
Reflectivity,P90,-9.901,220,142,58,9.0,333
Reflectivity,mean r>0,27.392000198364258,195,74,70,7.0,333
Reflectivity,max r>0,60.47800064086914,25,72,76,5.0,333
Precipitation,P90,1.494,130,50,60,,333
Precipitation,mean r>0,3.953000068664551,75,92,84,,333
Precipitation,max r>0,101.03600311279297,240,92,68,,333
W,P90,0.358,185,144,72,3.0,334
W,P10,-0.351,90,134,78,4.0,334
W,mean W>0,0.5299999713897705,205,40,116,15.0,334
W,mean W<0,-0.2630000114440918,115,118,116,14.0,334
Reflectivity,P90,19.257,130,116,96,7.0,334
Reflectivity,mean r>0,29.30500030517578,105,66,114,9.0,334
Reflectivity,max r>0,59.301998138427734,25,72,78,5.0,334
Precipitation,P90,7.609,85,80,72,,334
Precipitation,mean r>0,6.691999912261963,155,82,46,,334
Precipitation,max r>0,115.34400177001953,240,94,74,,334
W,P90,0.215,105,22,88,14.0,335
W,P10,-0.216,150,44,126,13.0,335
W,mean W>0,0.32100000977516174,180,46,22,6.0,335
W,mean W<0,-0.17900000512599945,150,142,90,13.0,335
Reflectivity,P90,-13.31,225,134,110,10.0,335
Reflectivity,mean r>0,27.39699935913086,135,64,48,0.0,335
Reflectivity,max r>0,60.35200119018555,25,72,76,5.0,335
Precipitation,P90,0.965,195,126,90,,335
Precipitation,mean r>0,3.878999948501587,230,126,84,,335
Precipitation,max r>0,96.78399658203125,235,62,70,,335
W,P90,0.208,50,36,54,8.0,336
W,P10,-0.21,240,156,28,11.0,336
W,mean W>0,0.31299999356269836,35,58,74,12.0,336
W,mean W<0,-0.17299999296665192,215,22,82,6.0,336
Reflectivity,P90,-14.429,230,28,106,10.0,336
Reflectivity,mean r>0,27.384000778198242,150,102,92,9.0,336
Reflectivity,max r>0,60.374000549316406,25,72,76,5.0,336
Precipitation,P90,0.92,180,54,62,,336
Precipitation,mean r>0,3.9489998817443848,235,34,92,,336
Precipitation,max r>0,94.12000274658203,240,48,88,,336
W,P90,0.339,205,30,22,12.0,337
W,P10,-0.337,210,94,130,19.0,337
W,mean W>0,0.5170000195503235,225,82,140,14.0,337
W,mean W<0,-0.25999999046325684,195,36,84,13.0,337
Reflectivity,P90,18.048,225,80,78,10.0,337
Reflectivity,mean r>0,28.6299991607666,140,66,104,3.0,337
Reflectivity,max r>0,60.297000885009766,35,70,78,5.0,337
Precipitation,P90,5.917,230,10,92,,337
Precipitation,mean r>0,6.130000114440918,240,72,136,,337
Precipitation,max r>0,131.49899291992188,240,92,72,,337
W,P90,0.179,50,106,104,11.0,338
W,P10,-0.184,35,96,38,5.0,338
W,mean W>0,0.25600001215934753,80,70,70,1.0,338
W,mean W<0,-0.15299999713897705,145,128,146,9.0,338
Reflectivity,P90,-30.0,0,0,0,0.0,338
Reflectivity,mean r>0,26.5310001373291,130,64,72,10.0,338
Reflectivity,max r>0,60.266998291015625,25,72,76,5.0,338
Precipitation,P90,0.446,195,46,40,,338
Precipitation,mean r>0,2.7720000743865967,115,76,90,,338
Precipitation,max r>0,83.1780014038086,240,68,78,,338
W,P90,0.216,30,122,54,16.0,339
W,P10,-0.23,190,126,90,14.0,339
W,mean W>0,0.3659999966621399,60,104,90,12.0,339
W,mean W<0,-0.19200000166893005,205,112,12,10.0,339
Reflectivity,P90,1.223,150,110,92,4.0,339
Reflectivity,mean r>0,28.70400047302246,200,48,40,6.0,339
Reflectivity,max r>0,59.715999603271484,25,74,76,5.0,339
Precipitation,P90,1.459,230,124,42,,339
Precipitation,mean r>0,5.460000038146973,170,64,106,,339
Precipitation,max r>0,139.08999633789062,240,72,76,,339
W,P90,0.233,80,56,102,12.0,340
W,P10,-0.238,200,18,18,11.0,340
W,mean W>0,0.3709999918937683,160,40,74,9.0,340
W,mean W<0,-0.19099999964237213,55,84,34,12.0,340
Reflectivity,P90,-1.584,210,28,78,8.0,340
Reflectivity,mean r>0,28.094999313354492,240,26,54,8.0,340
Reflectivity,max r>0,59.60100173950195,20,76,78,5.0,340
Precipitation,P90,1.184,215,24,56,,340
Precipitation,mean r>0,4.614999771118164,175,90,44,,340
Precipitation,max r>0,131.18899536132812,240,74,82,,340
W,P90,0.23,185,106,28,1.0,341
W,P10,-0.237,165,130,58,15.0,341
W,mean W>0,0.3610000014305115,55,94,86,3.0,341
W,mean W<0,-0.19099999964237213,120,104,108,12.0,341
Reflectivity,P90,-4.827,155,80,114,8.0,341
Reflectivity,mean r>0,28.30699920654297,200,58,38,1.0,341
Reflectivity,max r>0,59.23400115966797,55,78,84,5.0,341
Precipitation,P90,0.954,215,134,64,,341
Precipitation,mean r>0,4.567999839782715,220,24,38,,341
Precipitation,max r>0,124.89600372314453,240,76,82,,341
W,P90,0.191,140,50,54,17.0,342
W,P10,-0.205,200,24,50,13.0,342
W,mean W>0,0.3240000009536743,225,124,88,0.0,342
W,mean W<0,-0.1679999977350235,145,28,136,6.0,342
Reflectivity,P90,-6.937,150,96,54,11.0,342
Reflectivity,mean r>0,28.062000274658203,235,60,14,2.0,342
Reflectivity,max r>0,59.76599884033203,25,76,78,5.0,342
Precipitation,P90,0.739,180,28,68,,342
Precipitation,mean r>0,3.938999891281128,155,104,78,,342
Precipitation,max r>0,126.80799865722656,240,76,78,,342
W,P90,0.234,195,104,84,12.0,343
W,P10,-0.235,105,72,74,1.0,343
W,mean W>0,0.35899999737739563,125,92,118,11.0,343
W,mean W<0,-0.18700000643730164,150,38,76,3.0,343
Reflectivity,P90,-1.516,205,156,94,9.0,343
Reflectivity,mean r>0,28.134000778198242,240,136,34,2.0,343
Reflectivity,max r>0,59.494998931884766,20,74,76,5.0,343
Precipitation,P90,1.245,175,68,44,,343
Precipitation,mean r>0,4.36899995803833,200,60,82,,343
Precipitation,max r>0,123.37000274658203,240,72,78,,343
W,P90,0.438,45,76,36,10.0,344
W,P10,-0.401,135,84,148,14.0,344
W,mean W>0,0.628000020980835,195,98,136,1.0,344
W,mean W<0,-0.289000004529953,165,138,6,12.0,344
Reflectivity,P90,26.393,205,104,84,9.0,344
Reflectivity,mean r>0,28.974000930786133,135,108,42,8.0,344
Reflectivity,max r>0,59.35300064086914,60,72,82,5.0,344
Precipitation,P90,6.485,205,66,40,,344
Precipitation,mean r>0,3.921999931335449,175,130,70,,344
Precipitation,max r>0,160.22000122070312,240,76,82,,344
W,P90,0.237,40,106,70,6.0,345
W,P10,-0.238,120,114,86,13.0,345
W,mean W>0,0.37299999594688416,135,98,36,15.0,345
W,mean W<0,-0.19099999964237213,65,84,128,10.0,345
Reflectivity,P90,-1.19,125,70,22,9.0,345
Reflectivity,mean r>0,28.34600067138672,230,82,28,8.0,345
Reflectivity,max r>0,59.608001708984375,20,76,78,5.0,345
Precipitation,P90,1.409,230,48,8,,345
Precipitation,mean r>0,4.738999843597412,225,94,28,,345
Precipitation,max r>0,120.86799621582031,240,76,70,,345
W,P90,0.239,110,48,56,13.0,346
W,P10,-0.237,120,58,24,18.0,346
W,mean W>0,0.367000013589859,210,138,112,1.0,346
W,mean W<0,-0.1899999976158142,170,12,86,15.0,346
Reflectivity,P90,-2.778,110,62,40,4.0,346
Reflectivity,mean r>0,28.274999618530273,235,98,42,9.0,346
Reflectivity,max r>0,59.57899856567383,20,76,78,5.0,346
Precipitation,P90,1.399,240,142,44,,346
Precipitation,mean r>0,4.574999809265137,240,124,26,,346
Precipitation,max r>0,121.04900360107422,240,78,68,,346
W,P90,0.411,215,18,86,14.0,347
W,P10,-0.7,190,92,2,8.0,347
W,mean W>0,0.515999972820282,210,54,110,14.0,347
W,mean W<0,-0.3840000033378601,120,92,90,12.0,347
Reflectivity,P90,20.651,115,38,104,0.0,347
Reflectivity,mean r>0,24.417999267578125,155,2,58,4.0,347
Reflectivity,max r>0,60.5989990234375,90,148,0,5.0,347
Precipitation,P90,18.293,140,14,96,,347
Precipitation,mean r>0,5.932000160217285,115,14,114,,347
Precipitation,max r>0,112.48500061035156,240,72,82,,347
W,P90,0.245,135,76,138,17.0,348
W,P10,-0.253,130,98,52,19.0,348
W,mean W>0,0.40299999713897705,120,92,122,5.0,348
W,mean W<0,-0.20000000298023224,165,22,32,6.0,348
Reflectivity,P90,5.319,175,66,94,9.0,348
Reflectivity,mean r>0,28.461000442504883,240,64,32,11.0,348
Reflectivity,max r>0,60.077999114990234,60,72,80,5.0,348
Precipitation,P90,1.649,190,112,82,,348
Precipitation,mean r>0,5.048999786376953,100,62,68,,348
Precipitation,max r>0,161.14100646972656,240,72,80,,348
W,P90,0.579,50,140,24,15.0,349
W,P10,-0.705,125,56,80,7.0,349
W,mean W>0,0.6340000033378601,215,52,46,5.0,349
W,mean W<0,-0.4180000126361847,100,130,44,15.0,349
Reflectivity,P90,31.353,55,14,66,5.0,349
Reflectivity,mean r>0,25.711999893188477,80,28,110,0.0,349
Reflectivity,max r>0,60.75299835205078,100,76,148,3.0,349
Precipitation,P90,33.046,195,40,6,,349
Precipitation,mean r>0,11.543999671936035,230,128,64,,349
Precipitation,max r>0,152.54200744628906,240,104,156,,349
W,P90,0.11,140,156,30,10.0,350
W,P10,-0.115,55,64,54,4.0,350
W,mean W>0,0.12999999523162842,235,32,56,3.0,350
W,mean W<0,-0.09600000083446503,230,114,14,10.0,350
Reflectivity,P90,-30.0,0,0,0,0.0,350
Reflectivity,mean r>0,23.95599937438965,140,76,52,0.0,350
Reflectivity,max r>0,58.69599914550781,95,60,62,5.0,350
Precipitation,P90,0.0,140,36,56,,350
Precipitation,mean r>0,1.2009999752044678,225,78,58,,350
Precipitation,max r>0,47.53900146484375,180,54,54,,350
W,P90,0.059,70,126,20,3.0,351
W,P10,-0.058,155,28,108,8.0,351
W,mean W>0,0.04800000041723251,115,128,30,12.0,351
W,mean W<0,-0.041999999433755875,185,50,8,8.0,351
Reflectivity,P90,-30.0,0,0,0,0.0,351
Reflectivity,mean r>0,18.989999771118164,85,96,78,2.0,351
Reflectivity,max r>0,58.09700012207031,35,72,78,5.0,351
Precipitation,P90,0.0,100,100,104,,351
Precipitation,mean r>0,0.42399999499320984,70,82,82,,351
Precipitation,max r>0,25.89900016784668,90,70,78,,351
W,P90,0.143,235,28,118,11.0,352
W,P10,-0.157,230,86,132,12.0,352
W,mean W>0,0.20200000703334808,110,38,80,6.0,352
W,mean W<0,-0.13600000739097595,210,68,98,7.0,352
Reflectivity,P90,-30.0,0,0,0,0.0,352
Reflectivity,mean r>0,24.03499984741211,170,80,72,4.0,352
Reflectivity,max r>0,60.53900146484375,120,50,56,5.0,352
Precipitation,P90,0.0,145,72,86,,352
Precipitation,mean r>0,1.6749999523162842,210,82,48,,352
Precipitation,max r>0,60.71799850463867,230,38,44,,352
W,P90,0.094,195,88,58,6.0,353
W,P10,-0.095,235,8,102,8.0,353
W,mean W>0,0.09700000286102295,155,30,64,17.0,353
W,mean W<0,-0.07800000160932541,205,90,40,10.0,353
Reflectivity,P90,-30.0,0,0,0,0.0,353
Reflectivity,mean r>0,20.464000701904297,130,58,66,0.0,353
Reflectivity,max r>0,58.88199996948242,30,72,80,4.0,353
Precipitation,P90,0.0,125,46,108,,353
Precipitation,mean r>0,0.8180000185966492,205,52,72,,353
Precipitation,max r>0,35.7599983215332,95,68,82,,353
W,P90,0.015,130,56,62,5.0,354
W,P10,-0.015,150,44,74,15.0,354
W,mean W>0,0.010999999940395355,195,36,104,12.0,354
W,mean W<0,-0.010999999940395355,140,58,54,9.0,354
Reflectivity,P90,-30.0,0,0,0,0.0,354
Reflectivity,mean r>0,15.871999740600586,50,74,78,6.0,354
Reflectivity,max r>0,47.77399826049805,25,72,74,4.0,354
Precipitation,P90,0.0,0,0,0,,354
