variable,Aggr,value ,Times [min],x [km],y [km],z [km],Experiment
Reflectivity,max r>0,60.2140007019043,195,148,98,5.0,011
Precipitation,P90,16.54,235,104,106,,011
Precipitation,mean r>0,5.622000217437744,220,52,8,,011
Precipitation,max r>0,143.3300018310547,240,72,82,,011
W,P90,0.507,145,126,40,9.0,012
W,P10,-0.461,35,114,62,16.0,012
W,mean W>0,0.7200000286102295,205,50,100,4.0,012
W,mean W<0,-0.32100000977516174,230,90,86,2.0,012
Reflectivity,P90,32.841,190,56,80,6.0,012
Reflectivity,mean r>0,30.042999267578125,215,136,44,2.0,012
Reflectivity,max r>0,59.196998596191406,40,74,78,5.0,012
Precipitation,P90,13.244,230,104,44,,012
Precipitation,mean r>0,5.339000225067139,190,126,62,,012
Precipitation,max r>0,138.98899841308594,240,74,78,,012
W,P90,0.526,45,88,124,17.0,013
W,P10,-0.473,80,30,102,10.0,013
W,mean W>0,0.7289999723434448,60,64,96,8.0,013
W,mean W<0,-0.3370000123977661,55,136,60,16.0,013
Reflectivity,P90,31.464,180,64,80,8.0,013
Reflectivity,mean r>0,29.834999084472656,135,40,76,1.0,013
Reflectivity,max r>0,59.73899841308594,65,66,74,5.0,013
Precipitation,P90,13.291,225,64,66,,013
Precipitation,mean r>0,5.071000099182129,145,68,48,,013
Precipitation,max r>0,137.8939971923828,240,70,88,,013
W,P90,0.026,225,76,130,16.0,014
W,P10,-0.026,155,56,118,5.0,014
W,mean W>0,0.01899999938905239,100,0,120,18.0,014
W,mean W<0,-0.017000000923871994,160,78,156,16.0,014
Reflectivity,P90,-30.0,0,0,0,0.0,014
Reflectivity,mean r>0,18.270000457763672,80,94,66,7.0,014
Reflectivity,max r>0,55.51499938964844,30,72,78,2.0,014
Precipitation,P90,0.0,0,0,0,,014
Precipitation,mean r>0,0.3269999921321869,75,84,70,,014
Precipitation,max r>0,30.472999572753906,90,70,80,,014
W,P90,0.308,180,4,150,13.0,015
W,P10,-0.381,90,14,120,5.0,015
W,mean W>0,0.28999999165534973,235,44,70,2.0,015
W,mean W<0,-0.2540000081062317,115,82,114,7.0,015
Reflectivity,P90,8.74,50,66,16,4.0,015
Reflectivity,mean r>0,22.792999267578125,235,116,146,0.0,015
Reflectivity,max r>0,60.125999450683594,20,72,78,5.0,015
Precipitation,P90,10.404,240,78,12,,015
Precipitation,mean r>0,4.183000087738037,120,92,154,,015
Precipitation,max r>0,80.27400207519531,240,104,150,,015
W,P90,0.566,170,118,118,4.0,016
W,P10,-0.525,210,8,50,4.0,016
W,mean W>0,0.7269999980926514,215,72,42,9.0,016
W,mean W<0,-0.36899998784065247,125,118,118,6.0,016
Reflectivity,P90,31.499,160,42,44,1.0,016
Reflectivity,mean r>0,29.18400001525879,150,108,44,3.0,016
Reflectivity,max r>0,60.12200164794922,55,74,86,5.0,016
Precipitation,P90,15.642,240,48,90,,016
Precipitation,mean r>0,5.150000095367432,160,108,106,,016
Precipitation,max r>0,116.98799896240234,240,104,76,,016
W,P90,0.669,185,82,48,7.0,017
W,P10,-0.606,50,78,66,11.0,017
W,mean W>0,0.8209999799728394,210,6,14,1.0,017
W,mean W<0,-0.41999998688697815,125,10,46,6.0,017
Reflectivity,P90,34.127,190,76,58,10.0,017
Reflectivity,mean r>0,29.524999618530273,145,32,114,5.0,017
Reflectivity,max r>0,59.74599838256836,200,148,108,4.0,017
Precipitation,P90,19.906,145,74,44,,017
Precipitation,mean r>0,6.119999885559082,230,8,54,,017
Precipitation,max r>0,117.6520004272461,240,72,86,,017
W,P90,0.42,125,58,36,18.0,018
W,P10,-0.413,195,34,24,13.0,018
W,mean W>0,0.6000000238418579,90,102,112,18.0,018
W,mean W<0,-0.3059999942779541,95,112,114,2.0,018
Reflectivity,P90,24.21,185,102,82,11.0,018
Reflectivity,mean r>0,29.099000930786133,155,38,36,2.0,018
Reflectivity,max r>0,58.96900177001953,210,78,0,3.0,018
Precipitation,P90,9.995,240,112,30,,018
Precipitation,mean r>0,6.585000038146973,150,112,104,,018
Precipitation,max r>0,105.66899871826172,240,74,80,,018
W,P90,0.018,105,108,80,12.0,019
W,P10,-0.018,225,106,30,7.0,019
W,mean W>0,0.014000000432133675,205,134,86,9.0,019
W,mean W<0,-0.013000000268220901,120,100,46,2.0,019
Reflectivity,P90,-30.0,0,0,0,0.0,019
Reflectivity,mean r>0,18.98900032043457,80,76,80,7.0,019
Reflectivity,max r>0,51.95199966430664,35,74,76,5.0,019
Precipitation,P90,0.0,0,0,0,,019
Precipitation,mean r>0,0.08100000023841858,45,74,74,,019
Precipitation,max r>0,8.918999671936035,85,74,76,,019
W,P90,0.033,130,138,108,15.0,020
W,P10,-0.033,65,18,110,15.0,020
W,mean W>0,0.026000000536441803,180,126,112,10.0,020
W,mean W<0,-0.024000000208616257,75,0,94,14.0,020
Reflectivity,P90,-30.0,0,0,0,0.0,020
Reflectivity,mean r>0,21.368999481201172,135,76,78,5.0,020
Reflectivity,max r>0,58.97800064086914,35,74,76,5.0,020
Precipitation,P90,0.0,0,0,0,,020
Precipitation,mean r>0,0.5600000023841858,155,70,78,,020
Precipitation,max r>0,53.98400115966797,200,74,76,,020
W,P90,0.035,100,84,110,8.0,021
W,P10,-0.034,85,52,120,1.0,021
W,mean W>0,0.027000000700354576,180,40,72,7.0,021
W,mean W<0,-0.02500000037252903,210,98,76,17.0,021
Reflectivity,P90,-30.0,0,0,0,0.0,021
Reflectivity,mean r>0,21.229000091552734,145,70,74,4.0,021
Reflectivity,max r>0,58.63999938964844,25,76,76,5.0,021
Precipitation,P90,0.0,0,0,0,,021
Precipitation,mean r>0,0.5569999814033508,30,72,76,,021
Precipitation,max r>0,59.202999114990234,200,74,76,,021
W,P90,0.033,45,44,68,11.0,022
W,P10,-0.033,55,2,98,5.0,022
