Experiment,Total Sum,Max Value,Ratio,Mean,Cluster
107,3225.7087,52.947083,0.016414093,21.79533,1
108,9078.441,60.660633,0.0066818334,31.090553,1
109,13450.113,60.5041,0.004498408,31.573036,1
110,120535.57,60.275066,0.0005000604,31.9723,0
111,19064.373,60.698833,0.0031838883,30.502996,1
112,6165.3804,60.76385,0.009855653,28.945448,1
113,103717.94,61.43832,0.00059235963,30.595263,0
114,265674.8,60.085278,0.00022616099,43.37548,3
115,236843.47,60.42475,0.00025512525,42.759247,2
116,248803.34,59.661713,0.00023979465,40.495335,2
117,247083.5,59.94075,0.00024259309,41.708897,2
118,272560.44,59.93126,0.00021988247,44.225285,3
119,254077.88,59.469578,0.00023406044,42.730892,2
120,259617.81,59.434544,0.00022893092,43.269634,2
121,262753.25,59.37623,0.00022597714,43.574337,3
122,259194.08,59.427254,0.00022927705,42.490833,2
123,260937.56,59.46072,0.00022787336,43.009323,3
124,179347.94,59.6034,0.0003323339,35.599033,2
125,180062.05,59.815636,0.00033219458,35.762074,2
126,101536.32,60.04061,0.0005913215,29.261187,0
127,108740.82,59.673656,0.0005487696,30.726425,0
128,65198.59,59.28563,0.00090930844,30.35316,1
129,131396.12,60.23514,0.00045842404,32.74262,0
130,222166.06,60.91452,0.00027418463,40.131153,2
131,188881.34,59.92951,0.00031728655,38.468704,2
132,293719.7,60.28664,0.00020525229,47.06292,3
133,293928.0,60.97298,0.00020744189,47.0963,3
134,297996.1,60.76736,0.00020391999,47.74813,3
135,301378.78,60.07156,0.00019932246,48.290142,3
136,293915.8,59.557102,0.00020263321,47.094345,3
137,278722.56,61.585274,0.00022095547,44.65992,3
138,4671.9805,53.928223,0.011542904,22.037643,1
139,5460.4805,55.859196,0.010229722,21.668573,1
140,2483.9739,58.47777,0.023542024,26.709396,1
141,4281.571,54.195198,0.012657784,22.534584,1
142,7741.702,56.900696,0.007349895,23.31838,1
143,3696.9102,60.41759,0.016342726,27.588882,1
144,5146.8936,60.96615,0.011845232,27.821047,1
145,5146.9106,60.966568,0.011845274,27.821138,1
146,5705.4434,60.2067,0.010552501,28.105633,1
147,5146.857,60.96653,0.01184539,27.820848,1
148,7013.6133,59.61018,0.008499211,29.972706,1
149,23797.336,59.997574,0.0025211887,32.377327,1
150,285132.06,60.844566,0.00021339083,46.347866,3
151,288535.28,60.824486,0.00021080433,46.567993,3
152,280646.25,60.644176,0.0002160876,45.64838,3
153,283805.28,59.432114,0.00020941159,45.89348,3
154,223647.47,60.033535,0.0002684293,40.976086,2
155,222981.61,60.245888,0.00027018323,40.660397,2
156,6200.712,58.567455,0.009445279,23.22364,1
157,6202.6255,58.601807,0.009447903,23.144125,1
158,7234.827,58.27665,0.008055016,22.751028,1
159,6250.914,58.46636,0.009353249,23.066103,1
160,308066.5,60.762966,0.00019723977,49.36172,3
161,300323.62,60.445354,0.0002012674,48.121075,3
162,291224.0,60.401463,0.00020740551,46.663036,3
163,297183.22,60.9675,0.00020515121,47.617886,3
164,298279.44,60.10185,0.00020149512,47.793533,3
165,280185.2,59.60642,0.00021273937,44.89428,3
166,5922.8076,55.911755,0.009440077,22.95662,1
167,4369.006,55.683937,0.012745219,24.407854,1
168,293987.38,59.772552,0.00020331673,47.105812,3
169,301391.25,58.97027,0.00019566019,48.29214,3
170,312255.16,59.398514,0.00019022428,50.03287,3
171,304866.0,59.467716,0.00019506182,48.848904,3
172,313897.75,60.184498,0.0001917328,50.296066,3
173,302961.22,60.35086,0.00019920325,48.543697,3
174,2956.4556,52.01482,0.01759364,20.111942,1
175,3441.6362,52.436764,0.015235999,19.55475,1
176,2237.043,49.961227,0.022333601,16.947296,1
177,2901.871,49.811142,0.01716518,21.028051,1
178,2224.847,50.15777,0.02254437,17.942314,1
179,1622.6157,49.62674,0.030584406,16.902246,1
180,222544.31,59.29589,0.00026644534,38.515804,2
181,219999.61,59.511505,0.00027050733,38.42788,2
182,184542.95,59.734604,0.00032368943,39.281174,2
183,210677.95,59.573708,0.00028277145,37.420597,2
184,5553.321,60.348366,0.010867077,27.22216,1
185,72442.97,60.179176,0.0008307111,28.242872,0
186,207933.89,60.402515,0.00029048903,37.418373,2
187,211373.25,60.204895,0.0002848274,38.009933,2
188,151323.84,59.828926,0.00039537012,35.158886,0
189,196947.86,60.66612,0.00030803136,37.535328,2
190,308750.12,62.245144,0.00020160363,49.47126,3
191,310570.66,61.998,0.00019962607,49.762962,3
192,3254.525,55.88764,0.017172288,25.034807,1
193,3789.4136,55.722984,0.01470491,23.391441,1
194,4145.6196,55.206623,0.013316857,23.159885,1
195,3501.1304,55.755108,0.015924888,24.145727,1
196,247026.28,59.625164,0.00024137174,41.31565,2
197,252467.19,60.046432,0.00023783855,40.93841,2
198,305905.12,59.81093,0.00019552118,49.015404,3
199,299884.56,59.675926,0.00019899632,48.050724,3
200,302209.44,59.90192,0.00019821327,48.42324,3
201,304150.75,60.639454,0.00019937303,48.7343,3
202,88884.984,60.125175,0.0006764379,31.36379,0
203,89567.77,59.854633,0.0006682608,33.76094,0
204,5382.0254,60.328884,0.011209328,26.64369,1
205,5659.663,59.714634,0.010550917,27.608112,1
206,99777.31,60.402534,0.0006053734,29.963158,0
207,5470.2617,60.35682,0.011033625,27.080503,1
208,3291.1562,57.303574,0.017411381,25.316587,1
209,6493.1494,54.817802,0.008442406,21.571924,1
210,278059.62,60.2501,0.0002166805,45.598495,3
211,273109.1,59.99477,0.00021967328,45.48028,3
212,272126.03,59.391315,0.0002182493,44.92753,3
213,272203.3,60.607994,0.00022265708,45.014603,3
214,287198.8,61.61703,0.00021454487,46.018078,3
215,311868.44,60.16117,0.00019290562,49.97091,3
216,245834.78,59.465443,0.0002418919,41.937016,2
217,247490.97,59.485313,0.00024035347,41.770626,2
218,240696.88,59.503548,0.00024721364,40.816833,2
219,246627.08,59.423607,0.00024094518,42.18732,2
220,891.0238,52.94368,0.059418928,25.457823,1
221,1571.6794,50.7268,0.03227554,22.13633,1
222,137061.66,60.273376,0.00043975376,34.472248,0
223,144198.19,60.64875,0.00042059302,35.334034,0
224,130109.64,60.443222,0.00046455607,35.41362,0
225,118848.42,60.5159,0.00050918554,30.575874,0
226,297257.3,60.591606,0.00020383555,47.629757,3
227,303488.3,60.781635,0.00020027669,48.628155,3
228,302655.7,59.196625,0.00019559066,48.494743,3
229,303561.5,60.221474,0.0001983831,48.63988,3
230,285875.5,60.13659,0.00021035937,45.80604,3
231,291046.6,59.471283,0.00020433596,46.63461,3
232,303361.53,61.568707,0.00020295489,48.60784,3
233,305669.78,62.75385,0.00020529948,48.97769,3
234,2104.184,51.509033,0.024479337,20.23254,1
235,3717.916,51.548473,0.013864884,20.206066,1
236,1553.1777,53.87412,0.034686383,24.268402,1
237,2286.8557,51.7958,0.022649352,20.418354,1
238,31935.57,58.974403,0.0018466682,27.964598,1
239,4796.832,60.39624,0.01259086,26.948494,1
240,180761.39,59.57447,0.00032957518,34.66182,2
241,183093.9,59.69483,0.00032603397,35.91485,2
242,174635.88,59.555458,0.0003410265,35.244373,0
243,173286.5,59.518677,0.0003434698,35.021523,0
244,2345.484,55.091568,0.02348836,25.220257,1
245,2873.597,54.616207,0.019006217,23.748735,1
246,218745.0,60.955315,0.00027865922,39.520325,2
247,215394.94,60.46941,0.00028073738,39.84368,2
248,201856.22,61.146587,0.0003029215,38.90829,2
249,204162.48,60.497684,0.00029632126,38.175484,2
250,295575.06,60.130505,0.00020343564,47.36021,3
251,280756.3,58.887043,0.00020974432,44.98579,3
252,1952.866,51.81473,0.026532661,22.191658,1
253,1953.9119,51.816578,0.026519405,22.203545,1
254,2288.422,51.624065,0.022558805,20.803837,1
255,2418.9011,50.63977,0.02093503,21.406204,1
256,256074.16,59.191093,0.00023114825,41.94499,2
257,255675.84,59.672375,0.00023339075,41.962227,2
258,303025.25,60.347397,0.00019914973,48.55396,3
259,293590.1,60.182518,0.00020498825,47.042156,3
260,298532.3,60.588623,0.000202955,47.83405,3
261,295127.5,60.307926,0.00020434533,47.288494,3
262,56219.82,59.651424,0.001061039,28.830677,1
263,10489.663,58.913013,0.0056162924,24.798258,1
264,287305.25,60.411068,0.00021026788,46.03513,3
265,296962.56,60.36484,0.00020327425,47.582527,3
266,305147.8,60.455982,0.00019812032,48.89406,3
267,281356.7,59.89864,0.00021289218,45.08199,3
268,199133.38,59.931557,0.0003009619,38.561848,2
269,243537.34,59.75189,0.00024535,40.875687,2
270,8932.084,58.009197,0.006494475,22.72795,1
271,9040.211,58.110798,0.0064280354,22.600527,1
272,15295.89,58.616367,0.0038321647,22.395153,1
273,10782.357,58.528873,0.0054282076,22.652012,1
274,168433.14,60.110348,0.00035687958,36.72768,0
275,216006.1,61.643707,0.00028537947,38.724648,2
276,281622.8,59.44185,0.00021106901,45.139095,3
277,279054.94,59.44007,0.00021300491,44.74185,3
278,283409.44,60.48021,0.00021340224,45.512997,3
279,285034.7,59.44176,0.0002085422,45.774,3
280,3496.7852,59.292603,0.016956318,26.898348,1
281,7536.045,57.596992,0.0076428675,21.168665,1
282,50159.562,59.772167,0.0011916405,28.728271,1
283,53232.29,60.347446,0.0011336624,28.120596,1
284,5569.6797,58.974293,0.010588453,25.785555,1
285,43673.05,58.918457,0.0013490804,29.251877,1
286,309150.7,61.202717,0.0001979705,49.535442,3
287,309658.78,61.007107,0.00019701397,49.61685,3
288,303491.2,60.484135,0.00019929453,48.628616,3
289,297469.75,59.88832,0.00020132575,47.663795,3
290,297399.53,61.71406,0.0002075123,47.652546,3
291,307980.56,59.594612,0.00019350121,49.34795,3
292,4187.6143,59.226513,0.014143259,27.1923,1
293,24549.574,57.654266,0.0023484833,24.115496,1
294,5424.094,54.185665,0.009989809,20.54581,1
295,3187.13,51.850407,0.016268684,21.829657,1
296,2046.6422,56.959366,0.027830642,26.929502,1
297,5462.0645,52.932198,0.009690877,20.45717,1
298,303913.7,60.220417,0.00019814973,48.696312,3
299,310472.06,60.5567,0.00019504718,49.747166,3
300,213581.86,59.983643,0.00028084614,37.42454,2
301,203225.19,59.24452,0.00029152154,38.200222,2
302,224499.33,59.418907,0.00026467297,39.303104,2
303,231566.73,59.55803,0.00025719596,39.49629,2
304,167030.28,59.732132,0.0003576126,36.39004,0
305,181353.75,59.75833,0.00032951252,36.526436,2
306,149535.6,59.77946,0.00039976745,34.767635,0
307,150110.4,59.646782,0.00039735273,35.47032,0
308,147422.86,60.412735,0.00040979218,35.730213,0
309,160539.42,60.687035,0.00037801953,35.50186,0
310,160406.58,59.8853,0.00037333445,35.925327,0
311,151197.67,60.010162,0.00039689871,35.727238,0
312,23807.666,59.782288,0.002511052,29.57474,1
313,11597.252,59.619427,0.005140824,27.287651,1
314,81569.95,60.94933,0.0007472032,31.445625,0
315,17481.504,60.24074,0.0034459701,28.705261,1
316,256149.4,59.40264,0.00023190622,42.863018,2
317,265774.2,59.602715,0.00022426073,43.864365,3
318,255549.62,60.227196,0.0002356771,41.948395,2
319,253027.98,59.12562,0.00023367227,41.378246,2
320,259758.27,59.317196,0.00022835538,43.041965,2
321,259176.56,59.77242,0.00023062433,42.23868,2
322,90807.39,59.973045,0.00066044234,34.593292,0
323,13003.459,60.265522,0.0046345764,31.949532,1
324,3764.895,57.800102,0.01535238,24.44737,1
325,3290.2263,56.505844,0.017173847,24.738544,1
326,5124.1367,57.500187,0.011221439,22.57329,1
327,3767.8435,57.80123,0.015340666,24.466516,1
328,2377.6418,54.673866,0.022994997,22.86194,1
329,2468.0642,52.40517,0.021233309,23.066021,1
330,317330.7,61.743412,0.0001945712,50.846127,3
331,307256.12,60.25989,0.00019612267,49.231873,3
332,284151.3,59.939312,0.00021094152,45.529774,3
333,306297.94,61.904575,0.00020210576,49.078342,3
334,311741.75,63.270584,0.00020295833,49.950607,3
335,299215.97,61.344063,0.00020501601,47.943592,3
336,297329.44,60.60393,0.00020382756,47.64131,3
337,300206.88,60.660667,0.00020206289,48.102367,3
338,295392.3,60.48504,0.00020476172,47.330925,3
339,304174.84,60.769382,0.00019978438,48.73816,3
340,263505.53,59.460968,0.00022565358,43.38968,3
